"model","archetype","rank","gene","score","abs_score"
"A6","A4",75,"CTSE",0.641988719101836,0.641988719101836
"A6","A4",76,"ANKRD37",0.64048908572161,0.64048908572161
"A6","A4",77,"PNRC1",0.637900135217787,0.637900135217787
"A6","A4",78,"AREG",0.620096411759319,0.620096411759319
"A6","A4",79,"DUSP1",0.619872571191384,0.619872571191384
"A6","A4",80,"RSL1D1",0.618418729883149,0.618418729883149
"A6","A4",81,"PTPRB",0.618131361489705,0.618131361489705
"A6","A4",82,"TSC22D1",0.614700605616605,0.614700605616605
"A6","A4",83,"VDAC2",0.613784961389366,0.613784961389366
"A6","A4",84,"C15orf48",0.611747385772596,0.611747385772596
"A6","A4",85,"HMGCS1",0.611537339979886,0.611537339979886
"A6","A4",86,"RBCK1",0.608808551094022,0.608808551094022
"A6","A4",87,"TMEM59",0.608101829302095,0.608101829302095
"A6","A4",88,"OLFM4",0.605068216242726,0.605068216242726
"A6","A4",89,"BMP4",0.603018224271323,0.603018224271323
"A6","A4",90,"HLA-DRB1",0.600630165248328,0.600630165248328
"A6","A4",91,"CD9",0.600573910561469,0.600573910561469
"A6","A4",92,"ANGPTL4",0.586253643768067,0.586253643768067
"A6","A4",93,"ANXA3",0.585627484266928,0.585627484266928
"A6","A4",94,"CMAS",0.577948386078607,0.577948386078607
"A6","A4",95,"SMOC2",-0.575564230672885,0.575564230672885
"A6","A4",96,"RNF128",0.574850496090467,0.574850496090467
"A6","A4",97,"HSP90AB1",0.568987555771015,0.568987555771015
"A6","A4",98,"B2M",0.56791114755758,0.56791114755758
"A6","A4",99,"CEMIP",0.567709441892242,0.567709441892242
"A6","A4",100,"AOAH",0.566300575182689,0.566300575182689
"A6","A5",1,"HMGB2",2.36077920864641,2.36077920864641
"A6","A5",2,"TUBA1B",2.29762454989348,2.29762454989348
"A6","A5",3,"TOP2A",2.27734540944547,2.27734540944547
"A6","A5",4,"MKI67",2.17263253636624,2.17263253636624
"A6","A5",5,"CENPF",1.98019947434525,1.98019947434525
"A6","A5",6,"TUBB4B",1.93314731799248,1.93314731799248
"A6","A5",7,"H4C3",1.82841710202037,1.82841710202037
"A6","A5",8,"NUSAP1",1.74770519343954,1.74770519343954
"A6","A5",9,"HMGB1",1.73734190402289,1.73734190402289
"A6","A5",10,"H2AZ1",1.65237597991777,1.65237597991777
"A6","A5",11,"TPX2",1.62967623395361,1.62967623395361
"A6","A5",12,"CKS2",1.57082453479084,1.57082453479084
"A6","A5",13,"PTTG1",1.53684292235765,1.53684292235765
"A6","A5",14,"TUBB",1.45513814143143,1.45513814143143
"A6","A5",15,"UBE2S",1.45105316631069,1.45105316631069
"A6","A5",16,"STMN1",1.43176739628796,1.43176739628796
"A6","A5",17,"PRC1",1.39391740954231,1.39391740954231
"A6","A5",18,"HMGN2",1.33962707448063,1.33962707448063
"A6","A5",19,"HSP90AA1",1.33327701649304,1.33327701649304
"A6","A5",20,"RRM2",1.32876475010439,1.32876475010439
"A6","A5",21,"SMC4",1.32277484492024,1.32277484492024
"A6","A5",22,"CCNB1",1.2644263738588,1.2644263738588
"A6","A5",23,"UBE2C",1.24815080091891,1.24815080091891
"A6","A5",24,"FAM13A",-1.21428391462768,1.21428391462768
"A6","A5",25,"MT1X",-1.20039079947948,1.20039079947948
"A6","A5",26,"ARL6IP1",1.1879866579972,1.1879866579972
"A6","A5",27,"BIRC5",1.13522238084898,1.13522238084898
"A6","A5",28,"ASPM",1.13168386024391,1.13168386024391
"A6","A5",29,"CENPW",1.12490238910937,1.12490238910937
"A6","A5",30,"TFF3",-1.11953480104816,1.11953480104816
"A6","A5",31,"DLGAP5",1.11615985918655,1.11615985918655
