"archetype","rank","gene","cor","n_cells_used"
"A4",11,"PTMA",0.55487993586052,13245
"A4",12,"CENPW",0.546200545986618,13245
"A4",13,"STMN1",0.541361532790524,13245
"A4",14,"CEP55",0.540267785154241,13245
"A4",15,"TPX2",0.539979218039351,13245
"A4",16,"DLGAP5",0.537840958929506,13245
"A4",17,"DIAPH3",0.537642264611489,13245
"A4",18,"HNRNPAB",0.529159030219511,13245
"A4",19,"KIF4A",0.52573323371072,13245
"A4",20,"PTTG1",0.524387157086869,13245
"A4",21,"RRM2",0.522095517840198,13245
"A4",22,"ASPM",0.519029183365742,13245
"A4",23,"HMGN2",0.517787428667415,13245
"A4",24,"HMGB2",0.514500711763525,13245
"A4",25,"SNRPG",0.514462342861236,13245
"A4",26,"UBE2S",0.513058815749459,13245
"A4",27,"RAD51AP1",0.511988160818088,13245
"A4",28,"H2AZ1",0.510592690070859,13245
"A4",29,"GTSE1",0.510564062588145,13245
"A4",30,"CDKN3",0.510255784649686,13245
"A4",31,"RANBP1",0.505243202778964,13245
"A4",32,"FABP5",0.504540856728754,13245
"A4",33,"CCNA2",0.501025519725858,13245
"A4",34,"CCNB1",0.497629712002189,13245
"A4",35,"CDC20",0.495387314605788,13245
"A4",36,"CENPE",0.494583290813862,13245
"A4",37,"TACC3",0.492110679262163,13245
"A4",38,"TUBB4B",0.491790105216385,13245
"A4",39,"TUBB",0.491400053242458,13245
"A4",40,"PRKDC",0.49063301238512,13245
"A4",41,"KIF2C",0.490069033794438,13245
"A4",42,"DTYMK",0.489222442781893,13245
"A4",43,"SNRPD1",0.485431646884067,13245
"A4",44,"CKS2",0.483899396260756,13245
"A4",45,"UBE2C",0.481213766290694,13245
"A4",46,"ATP5MC1",0.479281068513254,13245
"A4",47,"CDK1",0.478643309920882,13245
"A4",48,"CCNB2",0.47549083664773,13245
"A4",49,"NDUFS6",0.474936430874848,13245
"A4",50,"DNMT1",0.474194410384376,13245
"A4",51,"HJURP",0.474110599443179,13245
"A4",52,"BUB1B",0.471729434649295,13245
"A4",53,"CIT",0.470223605962089,13245
"A4",54,"HMMR",0.467490384547786,13245
"A4",55,"KIF20B",0.466884091499182,13245
"A4",56,"KIF15",0.466873148668972,13245
"A4",57,"NUCKS1",0.463703228139183,13245
"A4",58,"CDCA8",0.46349760214478,13245
"A4",59,"UQCC2",0.463286357418731,13245
"A4",60,"SGO1",0.459486597586782,13245
"A4",61,"HSPE1",0.458074682861822,13245
"A4",62,"BUB1",0.45797734475691,13245
"A4",63,"TYMS",0.457366439026939,13245
"A4",64,"PFN1",0.456033080722601,13245
"A4",65,"KIF11",0.454762908983993,13245
"A4",66,"NUF2",0.454718349409866,13245
"A4",67,"HELLS",0.453929036481834,13245
"A4",68,"MYBL2",0.45286150335371,13245
"A4",69,"KIFC1",0.451674525222874,13245
"A4",70,"CENPK",0.450356521617315,13245
"A4",71,"HSP90AA1",0.450010201765029,13245
"A4",72,"AURKB",0.449066844501853,13245
"A4",73,"FANCI",0.448895389893714,13245
"A4",74,"NDC80",0.447745579972553,13245
"A4",75,"NCAPD3",0.447533807596385,13245
"A4",76,"TTK",0.446384823646118,13245
"A4",77,"VRK1",0.44611041563937,13245
"A4",78,"NCAPG",0.445904505045266,13245
"A4",79,"PPM1G",0.4434662712114,13245
"A4",80,"RFC3",0.442603064370249,13245
"A4",81,"ARHGAP11A",0.441950282353287,13245
"A4",82,"SMC4",0.441466646085013,13245
"A4",83,"CDC25C",0.440084608923207,13245
"A4",84,"KIF14",0.439166854720474,13245
"A4",85,"DEPDC1",0.437639145003907,13245
"A4",86,"SGO2",0.435899590182132,13245
"A4",87,"PRR11",0.435619644627466,13245
"A4",88,"NEK2",0.435403177593725,13245
"A4",89,"NASP",0.435150381203967,13245
"A4",90,"PCLAF",0.434755657452921,13245
"A4",91,"NUDT1",0.434169143471775,13245
"A4",92,"SNRPF",0.433917455777055,13245
"A4",93,"NCAPH",0.433880690980176,13245
"A4",94,"MELK",0.431284274660491,13245
"A4",95,"NCAPG2",0.430879321245635,13245
"A4",96,"POLQ",0.430802141649571,13245
"A4",97,"IQGAP3",0.430764677326405,13245
"A4",98,"NME2",0.428831486805791,13245
"A4",99,"CENPM",0.427291050896651,13245
"A4",100,"H2AZ2",0.426733088906077,13245
"A5",1,"NPM1",0.719565411525973,13245
"A5",2,"HNRNPA1",0.699118516869206,13245
"A5",3,"RACK1",0.67823568409868,13245
"A5",4,"HSP90AB1",0.665848720454401,13245
"A5",5,"NAP1L1",0.658744234683907,13245
"A5",6,"EEF1A1",0.644157793587359,13245
"A5",7,"MARCKSL1",0.642619784330669,13245
"A5",8,"SNHG29",0.625357331957981,13245
"A5",9,"EIF4A1",0.611699620958698,13245
"A5",10,"STEAP1B",0.606955469093015,13245
"A5",11,"EEF1G",0.60073920578208,13245
"A5",12,"ASCL2",0.598643189476543,13245
"A5",13,"LYZ",0.595942007234188,13245
"A5",14,"RCN1",0.595490783711029,13245
"A5",15,"LDHB",0.591995183813916,13245
"A5",16,"CD9",0.587593956554136,13245
"A5",17,"PABPC1",0.582626397580023,13245
"A5",18,"TKT",0.581639623856808,13245
"A5",19,"EIF3E",0.579394737328105,13245
"A5",20,"ENSG00000235979",0.578905327689402,13245
"A5",21,"CLDN2",0.575311111018117,13245
"A5",22,"YBX1",0.572753682389786,13245
"A5",23,"EHF",0.568461371674548,13245
"A5",24,"NCL",0.565416788738097,13245
"A5",25,"CCT2",0.561624289674873,13245
"A5",26,"KRT18",0.561265297704757,13245
"A5",27,"PHLDA1",0.559625902503002,13245
"A5",28,"ARID5B",0.558459199559307,13245
"A5",29,"SSB",0.556339765922728,13245
"A5",30,"SLC12A2",0.552924236824182,13245
"A5",31,"PLCB4",0.551381996561268,13245
"A5",32,"ZNRF3",0.551161158793845,13245
"A5",33,"NIPSNAP1",0.550829901065788,13245
"A5",34,"GPX2",0.550289714773915,13245
"A5",35,"EEF1B2",0.549071860415052,13245
"A5",36,"GSTM3",0.543520558805029,13245
"A5",37,"LGR5",0.542262140934466,13245
"A5",38,"CCND1",0.542043058417355,13245
"A5",39,"CCT6A",0.540369388486207,13245
"A5",40,"MLEC",0.536548340008686,13245
"A5",41,"ALDH1B1",0.536012999281792,13245
"A5",42,"BMP4",0.53568674506225,13245
"A5",43,"SMOC2",0.53321503761509,13245
"A5",44,"SLC25A6",0.531661315175746,13245
"A5",45,"ETS2",0.528613484027484,13245
"A5",46,"NAALADL2",0.527159073133152,13245
"A5",47,"ESD",0.524708451560306,13245
"A5",48,"CFTR",0.522983497230752,13245
"A5",49,"LAMB1",0.522834174784815,13245
"A5",50,"RSL1D1",0.522794489815667,13245
"A5",51,"CDK4",0.517026974981617,13245
"A5",52,"PPP1R9A",0.516755963281526,13245
"A5",53,"TSC22D1",0.515534262545742,13245
"A5",54,"TOMM20",0.515508486740545,13245
"A5",55,"CCT4",0.513094748363767,13245
"A5",56,"MYC",0.512636481541537,13245
"A5",57,"CCT3",0.512490319838822,13245
"A5",58,"EBPL",0.510754491087065,13245
"A5",59,"CDCA7",0.509879501170791,13245
"A5",60,"OOEP",0.507285074876049,13245
"A5",61,"BTF3",0.506518140857152,13245
"A5",62,"CDK6",0.506072938098193,13245
"A5",63,"MTAP",0.504410501723353,13245
"A5",64,"PPIA",0.503266192183916,13245
"A5",65,"PEBP1",0.503253687347926,13245
"A5",66,"RAN",0.502834107880852,13245
"A5",67,"APEX1",0.502511266627043,13245
"A5",68,"PHB2",0.501993544619054,13245
"A5",69,"FERMT1",0.501814180190393,13245
"A5",70,"OLFM4",0.495810328178852,13245
"A5",71,"ITPR2",0.495241106541717,13245
"A5",72,"EID1",0.493670146696369,13245
"A5",73,"HNRNPA1L3",0.493520649436297,13245
"A5",74,"PIK3R1",0.49200938195683,13245
"A5",75,"ODC1",0.491243770338451,13245
"A5",76,"EIF3F",0.490756612613496,13245
"A5",77,"PLEKHB1",0.490692212942202,13245
"A5",78,"OLA1",0.488048486064702,13245
"A5",79,"HSPD1",0.487625401780386,13245
"A5",80,"COMT",0.485893585429766,13245
"A5",81,"SMIM30",0.485751105330026,13245
"A5",82,"PCNX2",0.484921761521374,13245
"A5",83,"ABCE1",0.483766354776735,13245
